id,Fold_stratified_url,Fold_stratified_url_ver2,random_state
d09e70eb3,3,3,88
020e5345a,4,4,88
160038234,0,0,88
b9cca6661,1,1,88
2de580130,2,2,88
0555a5d4c,3,2,88
17a410c5a,4,3,88
dd3eebaf4,0,4,88
59e7951b6,1,0,88
0f01f53b1,2,1,88
2560699e2,3,2,88
c77f6c356,4,4,88
b9c1ffa01,0,1,88
0a06bcbc4,1,3,88
c14989fd8,2,4,88
50e9e3fcd,3,0,88
72d4c2ff5,4,1,88
4b3ebe537,0,3,88
88fd6ec35,1,2,88
a25af22ce,2,2,88
801e7775f,3,3,88
27e1db8fc,4,4,88
84badb218,0,0,88
c1f093311,1,4,88
902dc6da5,2,1,88
51cd672ae,3,2,88
f2f4c3e8c,4,2,88
33c8209b0,0,3,88
d2bc997b6,1,2,88
21ea485fb,2,4,88
a04741371,3,0,88
5cb5ab998,4,1,88
622f6215e,0,1,88
141c0439d,1,2,88
4d58c662c,2,2,88
2aa6a6a85,3,3,88
1bc431649,4,4,88
24e274809,0,0,88
5258eed6d,1,3,88
7344729b8,2,4,88
ab4947fd2,3,1,88
680ff0495,4,4,88
a99532546,0,3,88
b7120e247,1,0,88
45aac7fda,2,1,88
f85f5ef42,3,2,88
bf1f402ca,4,2,88
09c41e31e,0,3,88
8a229dc14,1,4,88
5d4c76dc2,2,0,88
659e6b1af,3,1,88
4549ad3c0,4,3,88
acd3f0207,0,2,88
f449a79ae,1,4,88
a276c10e3,2,3,88
d1fa0d1f4,3,4,88
07de53e3c,1,0,88
a26e55bea,4,1,88
5127fb10f,4,2,88
a6045da7b,0,4,88
0d3a8f33b,1,0,88
7073d1ef3,3,3,88
e83e2cc69,1,3,88
e4d810c98,3,4,88
c46e26fb6,0,0,88
688e3c808,3,1,88
6ee4f1df3,0,2,88
bba96ae90,0,3,88
6849b506d,2,4,88
9ebae047b,3,4,88
2b2fdfc8c,1,4,88
95e0a7b8d,4,0,88
14365d003,4,1,88
92a8d63d2,4,2,88
b12cb6e0d,2,3,88
49cae2321,2,4,88
e6063b77d,1,4,88
bc748d8e3,2,0,88
cef7dd81c,1,1,88
1e497b6bc,0,1,88
201eff52d,1,3,88
8c3532d5e,3,0,88
a512494fc,4,2,88
62526c010,0,1,88
d74e2a8a3,4,2,88
fec88f35c,1,3,88
84101eee4,3,4,88
797c77844,0,0,88
069d0da0f,2,1,88
674bd8368,4,2,88
fed2fbd39,1,3,88
c524ddc05,3,4,88
3452290fd,2,2,88
52433aef2,2,4,88
92749fef5,0,0,88
09fe55c1c,2,1,88
1eb28e98e,3,0,88
94c1c23fd,3,0,88
ac50d303b,2,2,88
50c339373,2,3,88
fd23df088,0,4,88
137af2682,0,4,88
9357b32ff,3,0,88
a78c5d564,2,1,88
2d08e6642,3,2,88
954b463dc,1,3,88
c228478ac,3,4,88
e83d8c94b,3,0,88
ea67143e5,2,1,88
68030b769,0,1,88
cf3f0844b,0,2,88
f8c8e64bb,4,3,88
8f11d4954,3,4,88
9fefb4259,1,0,88
6e39df98c,3,1,88
cb472863a,1,2,88
875601dcb,2,2,88
24e16582a,0,3,88
0ee9ed7d1,3,4,88
e88783670,1,0,88
5e1c3fc3c,4,1,88
4afe4aad8,2,2,88
7f8863c77,2,3,88
0263a173f,1,4,88
1ad3c0a9c,0,0,88
32fc19585,2,4,88
9191df3d4,3,1,88
f43a27b6d,1,3,88
701310673,4,0,88
f1a527e3b,3,2,88
6c1ec61d3,4,3,88
dca4328c4,0,4,88
b9340b6e4,1,0,88
b972ec989,2,1,88
25427adb0,2,3,88
51c8c5c23,1,2,88
f8c88833f,1,3,88
5d2930947,0,4,88
a15ef0c1c,1,0,88
00589d631,2,1,88
522b40c9f,4,0,88
a4fe184a7,1,2,88
1b763f5eb,2,3,88
0cd2488aa,3,4,88
99361e803,2,1,88
0b252057e,0,3,88
62e7568a4,4,1,88
b5ffa97d5,4,0,88
afc8ff464,4,3,88
e167bb46b,4,1,88
dc9fc8155,0,2,88
c56b17080,2,3,88
0d456589c,3,4,88
f88faca70,0,0,88
c434b7308,0,1,88
b9e48c16b,1,1,88
7690c0d22,1,2,88
03fccfcee,0,3,88
525766d24,4,4,88
50dc68f2f,0,0,88
70f07093e,3,4,88
7c732b8bb,2,1,88
fbcb3dbac,1,2,88
b52f3696a,0,3,88
b5a6847a8,0,2,88
7a5ff6589,1,4,88
043049ae7,4,0,88
c85c04767,1,1,88
dbfa3780f,1,2,88
3e348dce0,1,2,88
a01ff5dc0,0,3,88
25268f8d2,0,4,88
23e34b043,2,0,88
b5164ad5e,0,3,88
954d11b73,4,1,88
f87925b78,4,2,88
e2050ac7a,0,3,88
70b52f9ec,4,4,88
67c4ede2f,1,0,88
a8a4d23c3,3,1,88
0c66f669a,3,2,88
04245deb8,4,3,88
273baf218,3,4,88
906fdc3fb,3,0,88
d275f5dd3,1,1,88
497e85068,1,3,88
a9c88f6df,4,0,88
ecfffa27f,3,2,88
2ec50cadf,2,3,88
f378386f4,2,4,88
77f73d19f,3,4,88
dbef2d020,1,2,88
c83049ee2,2,0,88
0377a5ba9,2,3,88
ea57f3753,1,1,88
7a259cdf4,4,2,88
8c3bba2b2,4,3,88
ac715fbdd,3,1,88
5bb09dede,4,4,88
438d0393b,0,0,88
05c2f2fb0,0,1,88
204f4dec4,1,2,88
d8a77aa56,1,0,88
b54f796ab,1,0,88
7f1427de9,4,3,88
0febeb424,0,2,88
141aae66a,3,4,88
403b0ca76,2,0,88
645d438fb,2,1,88
62834f569,2,1,88
fff594b50,2,0,88
c481b3218,4,1,88
98b62b4f5,2,2,88
06e556039,1,0,88
edba35680,4,4,88
146d29c6b,3,1,88
38d1fb000,1,2,88
884c4771b,2,3,88
ca85ccd97,4,1,88
d24612311,0,3,88
0fe7e91a4,1,4,88
86e14510a,2,0,88
15fc88a5f,0,2,88
159a7ab6c,0,1,88
26ee34f6c,0,2,88
cd17cf7c7,2,3,88
8f721c292,1,2,88
19bfac449,2,4,88
3fbefb41a,0,0,88
1eb302c9c,1,1,88
5d8da7a16,4,2,88
a3f10d9df,1,3,88
6c58966f4,3,4,88
9fb92d9b4,0,0,88
933e78b0c,3,0,88
9d2d55759,3,1,88
8057d0e72,3,2,88
bf118dacf,4,3,88
93882c9cf,4,4,88
5d139e7ab,3,0,88
26678560c,3,1,88
c01d99818,2,3,88
c33c1cbc6,0,1,88
5736648a1,2,4,88
456ee9f81,4,2,88
543d435b4,4,4,88
2a32c5eeb,4,4,88
83987c412,0,1,88
a9d3d8260,1,1,88
1be0e5fbf,4,2,88
d3aef0bba,1,3,88
d48328468,4,4,88
8d55ccfa3,4,0,88
00e2e0148,2,3,88
5e96ed266,1,1,88
1df3f8354,3,3,88
adf04a8f4,0,2,88
35a56340d,1,3,88
85a975cc1,4,4,88
e50f1c437,1,0,88
27b3fb150,3,3,88
86d76609e,2,1,88
339ee734d,3,2,88
7a0641567,4,3,88
29cd28197,0,4,88
03fed49a4,4,0,88
c85b48fe7,3,1,88
25418ac78,4,2,88
ebac871b7,1,3,88
22ebf369e,2,4,88
83f77fa83,4,0,88
35099250c,1,0,88
c4709a131,1,0,88
bf3ea5462,0,1,88
7ba209d4b,2,2,88
3034df752,3,3,88
ebb2713b9,4,4,88
3bd96fa79,0,0,88
478a77c74,3,0,88
e9eb2f1aa,3,1,88
5b63df3ed,0,2,88
190892047,1,3,88
d55d97ab3,0,4,88
23fa02682,2,0,88
5adc8037f,1,1,88
9a1ff68f0,1,1,88
66c40304c,0,2,88
4be5d5b1b,0,3,88
bd4d3fd35,1,4,88
feb6c61dd,0,0,88
e21a8d1fb,4,1,88
6ab432eb0,0,2,88
7bcdf0b70,4,4,88
a24031f43,1,3,88
f97204802,0,3,88
9a3b4c21f,0,4,88
14112c6ee,4,2,88
94a7d89ea,0,3,88
6664a7bcc,1,2,88
014b0c117,4,0,88
f18969199,0,1,88
7891283c8,0,1,88
6d7a84402,2,0,88
84fba32e2,4,2,88
ae2a39de9,3,3,88
f14d4ff94,1,4,88
40923b7c1,1,0,88
ec07a54cf,0,2,88
f51462541,4,1,88
9c48938f2,2,0,88
c6c5c7b1d,0,2,88
6ef035530,2,3,88
58c58d344,3,1,88
4871563c3,1,4,88
c8a491c6f,0,0,88
7364963a0,3,2,88
6f8affb27,2,1,88
11dc56882,4,2,88
0194295f1,0,3,88
27221e5a2,3,1,88
329cd9805,4,4,88
b64e1c1e7,2,0,88
0301013cf,2,1,88
947e2b67c,4,4,88
8cbfb01cf,0,2,88
dee9eca74,0,2,88
38aa1ead8,1,3,88
5b2fe7764,1,4,88
9bc557816,3,0,88
a9e5ef5e5,3,1,88
a1531d627,4,2,88
861539d4c,1,4,88
2a56edd5a,3,3,88
2a84fbd08,0,4,88
c9eea4fc6,0,0,88
0eb66e27e,1,2,88
0f9838e7e,3,2,88
92d5b6fcc,3,1,88
da2d9831a,3,1,88
5f964e1e7,0,1,88
959951b2b,3,2,88
8a2b83b06,3,3,88
067b97b3e,2,4,88
5724967c7,4,0,88
1749d6ad0,4,1,88
663a28944,4,0,88
d54fc5196,4,1,88
99b938c1b,0,2,88
ec888c025,1,3,88
188449e7e,0,1,88
e24391c0c,4,4,88
90ba26317,3,0,88
7eacd1edc,4,0,88
bc1fb901e,3,1,88
4b9e40924,2,4,88
29c7b573f,2,2,88
f7c205371,1,2,88
fcc566f86,2,3,88
b7ff3f935,1,4,88
475a53f12,2,0,88
46577b58d,2,1,88
d7064ad71,3,2,88
916faaa6b,2,2,88
0e3ee0b16,3,3,88
acb53f607,0,4,88
f9fb02afe,4,0,88
1ec0dccc1,4,0,88
e0c5e988c,0,0,88
e11b8183b,0,1,88
b949b1ef7,3,1,88
994cc6091,3,2,88
bae209b89,1,3,88
747e04d46,2,4,88
3a7c0e5c0,3,0,88
5f1e73614,3,0,88
f80bf00cd,3,0,88
8fa893ad4,3,1,88
3c1674b21,4,2,88
a4fa3021c,2,3,88
df86b1ee8,2,1,88
4df967e22,4,4,88
26395cae9,2,0,88
25e6b2031,3,1,88
3a4b56999,2,3,88
82f92f8a5,1,2,88
a9397ddc1,3,3,88
b1182ff9a,1,4,88
7099e038d,0,1,88
ea39d6014,2,3,88
33a5087e7,4,2,88
a20087e7c,1,4,88
663afa987,2,0,88
d2f71c57b,3,1,88
7cc35371e,4,2,88
26fd0c675,4,3,88
708324262,3,4,88
e882f463d,0,0,88
073875f13,2,0,88
0d90e92a3,1,4,88
ab24f949c,3,1,88
f805c380d,2,2,88
39ddf1d39,1,2,88
c6ac6a81e,1,3,88
3bc279c79,0,2,88
1d3b50f9d,3,3,88
36a340cb8,0,4,88
95c133a73,4,1,88
3bd492e5f,0,0,88
e427c1a62,2,1,88
6c21d9b1e,1,2,88
fe6620086,3,2,88
2491eebf3,1,1,88
31aba067d,3,2,88
8a23a4ba3,2,3,88
b1aafcfd0,1,4,88
fb2d4c9d6,1,0,88
88d52f8e2,1,3,88
33511af2b,3,1,88
10426d8a6,3,2,88
200001c2d,1,3,88
69c52df11,2,4,88
ec437fd25,4,3,88
195bb7384,0,0,88
7a1723dd0,3,1,88
6c04954f0,2,2,88
a4758360d,4,1,88
74dcefd0b,2,3,88
bac396931,3,4,88
0b2b28516,4,0,88
2d91125e2,0,1,88
5c22a3c42,4,2,88
0e54e5176,2,3,88
daa697f3e,0,3,88
d1e534d7e,2,0,88
d0e0b8a07,2,2,88
65c3fc984,3,4,88
a26d6d550,4,0,88
c19430bb5,2,1,88
aa628d18b,3,0,88
e48f075f9,4,2,88
e6fd2bc8a,0,3,88
e7dc3df1d,0,4,88
6dc285550,3,0,88
49476203e,4,1,88
7a0474321,4,2,88
4fe36299f,4,3,88
195133a2c,0,3,88
9ca3de311,2,3,88
7dadc99f7,2,4,88
0ca04f879,3,1,88
8c42df10f,2,0,88
56771fd66,1,1,88
9c11fddcc,1,2,88
22cb49f55,1,3,88
11c3536a9,0,4,88
b32813296,1,0,88
5e818791b,2,4,88
858c1c937,2,1,88
466d31b75,2,2,88
067254eba,2,3,88
3506c7729,3,4,88
7c5e4c544,4,0,88
4bda63175,1,1,88
8ad831af1,0,2,88
75a659e45,1,3,88
60305c619,3,1,88
e48d82d90,0,4,88
b822dd87a,1,0,88
82a6d3579,3,1,88
7406f3ec9,4,2,88
8aa8eb87a,1,3,88
80a6e054b,3,0,88
ecec71bf5,1,4,88
169427af9,1,0,88
5571f838d,2,1,88
190b37c5d,0,2,88
ff05c5c21,3,1,88
70889932b,4,3,88
edf40f465,1,3,88
041370a06,4,4,88
a64a9ee5e,4,0,88
586e63886,3,1,88
c3f7b5a72,0,2,88
551e0fc0b,0,3,88
0542ab29a,4,4,88
ce470932b,4,3,88
10112f396,0,0,88
e18cb726a,1,0,88
400903544,0,0,88
fe19cd82d,4,0,88
ee3057687,3,3,88
0b85114d2,1,1,88
9a025b51d,3,1,88
6a5350990,2,2,88
322e67244,3,3,88
88f6fd2e2,3,4,88
9d0141395,3,4,88
5cd839366,1,0,88
cd5e78485,1,4,88
d6764322c,4,1,88
952e7545d,0,0,88
c1b9c0e90,0,2,88
639596b83,0,1,88
a01200b53,0,3,88
22a65768d,1,4,88
f234be2d1,0,4,88
9147713d7,3,0,88
d2ed034c7,1,0,88
5f6bddf7e,2,1,88
6fdc56fc1,1,2,88
840ed394e,3,3,88
5c7e474f9,4,0,88
bc2022607,4,3,88
6923a71bd,4,4,88
b73d34263,1,0,88
55990b441,1,1,88
933bbff95,4,2,88
d5fb5c973,0,3,88
d77ea07b8,1,4,88
861faf1f5,1,0,88
f0d7b622e,2,1,88
437b00624,2,4,88
8fb1cf05f,2,2,88
c946aecc3,0,1,88
ec01b706a,0,3,88
d91936b32,0,4,88
476b3492a,1,0,88
90a777ef2,0,1,88
0de4ec6f5,1,1,88
d42622eb6,3,2,88
8c9a2b4ee,0,3,88
be4393b13,2,4,88
5ac6ee76a,2,2,88
8be3592cf,4,0,88
c9849a3ad,3,1,88
ba7c965a6,0,2,88
347de9ec7,0,3,88
f1e1e48c9,1,4,88
695bb0ad0,4,4,88
848f1d906,4,0,88
01734f6f6,3,1,88
e668530bf,4,2,88
c61350717,2,0,88
bb3a5dad0,0,3,88
90e340ba0,0,2,88
50ddd053a,1,4,88
1fa9123c4,4,0,88
0208ac8d4,2,1,88
33030f528,0,2,88
a9224074c,4,1,88
886fb8a49,0,3,88
a9829cf3d,3,4,88
c376446c9,2,0,88
56a925239,4,0,88
0bd33d156,3,1,88
dfefb0086,2,3,88
3f2a8972d,4,2,88
abd72da8f,2,3,88
a23df5190,4,4,88
eaba56724,3,4,88
791a3018f,0,0,88
ac2d318cb,4,0,88
646c87513,4,1,88
bb1550abb,3,2,88
e5ed9fe10,2,1,88
f19ad54ad,0,2,88
dd84feace,1,3,88
28a8769f2,2,4,88
eaba0ffae,3,0,88
7627933b2,3,0,88
ca8926fe5,2,0,88
e4c6bc97a,0,0,88
b6a8c1b6d,0,1,88
5c0dd7800,3,2,88
989afe6bf,1,2,88
cce06a110,1,3,88
03b1a6ff7,2,4,88
ee2fcc78b,0,0,88
a666c1db9,1,2,88
83f9c17b9,0,1,88
c4569ce1b,2,1,88
298ce4b53,4,4,88
85c3fe33d,1,1,88
45564f878,4,2,88
6c603c6dc,4,3,88
e36cf4569,4,4,88
124de178b,1,0,88
9e7ada519,4,1,88
d2556a097,0,2,88
614acf47c,4,3,88
9c82627a0,4,0,88
24e00a515,0,4,88
c89fe1521,1,4,88
0b405c725,1,4,88
b3769fbe0,2,4,88
bacdd6a73,0,0,88
f113e6d15,4,1,88
6c2e05a3e,3,2,88
848d00314,1,3,88
cfa18ebad,3,4,88
c7be17d70,3,0,88
e89267551,3,1,88
f4d52c329,3,2,88
4cf4a2fa3,2,3,88
cd1915d2d,1,4,88
1c66b6ca4,3,0,88
7aeab5aca,2,1,88
8878141a0,3,3,88
563b1c260,4,2,88
e3fcdeed3,4,0,88
b84fb22ef,1,1,88
b7b432441,2,2,88
74f266b31,2,3,88
9497ca7b3,2,4,88
b3f2457aa,0,4,88
8f35441e3,4,0,88
3af1c6ed0,1,1,88
5ab7669bb,2,2,88
7fe628758,1,3,88
b690db35a,0,4,88
620f1eb43,3,0,88
cd5279677,4,1,88
99067575a,1,2,88
261432a07,4,3,88
5ac1be4cf,2,4,88
e9027d7c5,4,0,88
38035d30f,3,1,88
09f2bfe05,4,4,88
79e11d324,2,2,88
30cab6ae4,4,3,88
32bbd34c9,4,4,88
ba96ff079,4,1,88
165227ecf,0,3,88
90d8170d5,4,0,88
fa65744eb,3,1,88
e63fb9c1d,0,3,88
bb02f66b8,0,2,88
7680bdd18,1,3,88
0915b75d9,2,4,88
b07592b93,2,3,88
2dad3528b,3,4,88
fb5e72460,4,0,88
ef60b30c3,1,2,88
986d76541,4,4,88
0eef376fd,3,1,88
e422c68f6,3,2,88
7a8c7b9af,0,3,88
3bb533026,4,2,88
d74dbaa08,4,4,88
902d55f44,0,0,88
8397654c4,1,0,88
9be269634,3,4,88
04caeb3bd,1,0,88
79d17eb82,1,1,88
d8f9566b2,4,2,88
80fd33895,2,3,88
79e03e272,3,4,88
84916bfcb,2,0,88
5942695bd,0,1,88
779547d0a,4,2,88
ab26eef44,0,2,88
bd4d8852e,2,1,88
e33c8a8ce,2,3,88
7492e758c,4,4,88
e7dca6a96,0,0,88
b55026bd9,1,1,88
420b4ae48,4,2,88
1c6ffcd35,1,2,88
78006971c,0,3,88
08c7bbf09,3,1,88
3a91be9ef,3,4,88
f7c409bed,3,0,88
20f3a0c5c,0,1,88
4840d2cac,1,2,88
b81464e80,3,0,88
355a68dd7,2,3,88
d8b60e09a,3,2,88
74f63cb2e,0,4,88
7ce670150,0,0,88
854573ece,0,0,88
cf44e1a67,4,1,88
f68bdf0ac,0,2,88
3026c751f,1,3,88
41e16dfb0,3,4,88
cc445e16d,1,0,88
8f3c9b36f,2,2,88
a2317c5a4,0,1,88
f4612c761,3,4,88
4d7e8695a,2,2,88
069359db4,2,3,88
29e0e6f3c,2,4,88
48a78b891,1,4,88
db67bd439,2,0,88
6263c49aa,2,1,88
871c880aa,2,2,88
518a0eb0e,3,3,88
02b5f24ae,4,1,88
ec387c953,0,0,88
cf08f83fb,2,4,88
383d1fd4a,3,0,88
3423fc4ea,2,1,88
f8a732236,1,2,88
4223ee1bb,3,3,88
99f2949e4,2,4,88
636fbc2e0,4,0,88
89948e4ea,1,1,88
d59b8be19,1,3,88
baf17fffd,2,0,88
447a2a0a9,0,2,88
cc3365b18,3,3,88
075d8a7fe,2,3,88
11bc4e9b9,4,3,88
14a6b98bc,3,4,88
01cef15f6,2,4,88
971ff1419,2,0,88
c9757dff3,3,1,88
c429433da,0,2,88
d333b989d,3,3,88
a8effc717,0,3,88
494a239ed,0,4,88
ac62c7f35,1,0,88
198df7617,4,0,88
cd98c6a15,3,0,88
52bb23cce,3,0,88
2ed964d21,0,1,88
0e2cc2033,1,2,88
44e25739e,4,3,88
f3923203e,0,4,88
57ad297c5,0,0,88
92a0c2d46,2,1,88
ad84a0097,1,2,88
f305c0e4a,4,3,88
8a965eeaa,3,3,88
1627fa147,3,3,88
e74cc0839,3,4,88
ce59e84ab,3,0,88
61e569be7,0,3,88
9c0bed2c5,3,3,88
fe65836e5,0,1,88
e0e6b41e5,3,2,88
d82eca995,2,3,88
b81cf476e,3,4,88
543bcf94d,0,0,88
7c52601b9,2,1,88
56e590582,2,2,88
f71ecd9e9,0,2,88
4e0cdfdaf,4,3,88
2ac04d8a0,0,3,88
dcf85ad40,0,4,88
7350f59fd,2,0,88
0d7191993,4,4,88
9707b4ed7,4,1,88
7b862221d,3,2,88
5ee85b861,1,3,88
42903ee90,1,4,88
034bfda3f,4,3,88
9e2bc2bf9,2,0,88
4db658993,1,1,88
4409e7d1d,4,0,88
8702c3b65,4,2,88
92800bdda,1,3,88
1f3711a4c,0,4,88
3a251b3f4,4,4,88
86d0efac3,2,0,88
ef7091d7c,2,1,88
dcdb76d20,4,2,88
c72336fa5,3,3,88
611974422,4,4,88
70da9960b,0,0,88
589c8bd39,0,1,88
50e7e7f29,2,1,88
a713d5ec4,3,2,88
46de95092,0,4,88
44574243c,0,3,88
dcfa7a4cf,1,4,88
20a7c954d,3,0,88
eb4e3cbc2,0,1,88
b5e073c7b,0,2,88
e97000e5a,2,2,88
822c5d421,2,3,88
7aad61e03,1,4,88
d23861773,4,0,88
fa245b18c,4,1,88
25453cfdf,3,2,88
70d41e95f,1,3,88
b0e0d3a39,1,0,88
124782d8d,1,4,88
e7d6acd2e,3,0,88
849971671,4,1,88
39fde689a,0,2,88
42040e08c,0,3,88
ab21a5be7,2,0,88
7d262dd9b,2,4,88
cbd39e3aa,2,0,88
03b761fd9,4,1,88
3362c7f9a,2,2,88
501927637,4,3,88
9ba54834d,4,4,88
9cf73dfa2,4,0,88
5e0850d8c,1,1,88
dc05f5cbd,0,2,88
f9aeaeeaa,2,3,88
a6c6237aa,4,3,88
e847e756b,0,4,88
c9bbb69f6,0,0,88
459707759,0,1,88
b025a7846,1,2,88
cd2961c53,0,0,88
2d3e20104,4,3,88
dad182181,1,4,88
42e422ab7,4,0,88
c182a398b,3,4,88
d6ad3a9f9,1,0,88
93621e190,3,1,88
f741de5e3,2,2,88
1b0a2c763,1,2,88
112f57fc9,2,3,88
2d5024090,3,4,88
c911a8e1e,4,0,88
c9170e4aa,0,1,88
c3086ffed,3,3,88
7a1d484be,1,2,88
a3786e03d,4,0,88
e7ad87dde,2,3,88
c1e021c32,1,4,88
d5f23b194,4,1,88
6e2cbd96e,3,0,88
ec941d0ff,3,1,88
31f4701e4,4,2,88
6c021c53c,4,3,88
1bc647ae2,1,4,88
eb8c0bbe0,3,2,88
e291215df,1,0,88
0684bb254,3,1,88
0ae484f14,0,2,88
e4438a351,2,3,88
45f01d4f7,0,4,88
2dd95c781,1,0,88
1952e3237,1,1,88
cd4dc91f6,2,0,88
69b153a1b,0,2,88
314809a6c,1,3,88
634c43abf,1,4,88
3a54cfc98,0,0,88
c5c0d7b08,0,1,88
0103162f0,2,2,88
a8a7fcc01,4,3,88
9c5846f9b,2,3,88
3f4b5b5c9,1,4,88
5cbcd3d07,0,0,88
8c7fde315,3,1,88
92d29d8c7,2,2,88
7e6f263bc,2,3,88
668b4f061,2,4,88
1dc451c57,2,0,88
82e11623c,4,1,88
e84288bc7,2,2,88
17435506e,2,4,88
d94fd9e15,2,2,88
17acf292d,3,3,88
c06f29ae8,3,3,88
ad7445b0b,3,4,88
3bfd25fdc,4,4,88
e62f9d880,0,4,88
64b635d77,4,0,88
e50e4b781,0,4,88
0ffa97fdb,4,0,88
d36a81a17,1,1,88
c88dc44b4,4,2,88
