id,url_legal,license,excerpt,target,standard_error
1c0e7636c,,,"The race was about half a mile and return, the first and last quarters being upon the ice. The course, after leaving the ice, led up from the river by a long, easy slope to the level above; and at the further end, curved somewhat sharply around the Old Fort. The only condition attaching to the race was, that the teams should start from the scratch, make the turn of the Fort, and finish at the scratch. There were no vexing regulations as to fouls. The man making the foul would find it necessary to reckon with the crowd, which was considered sufficient guarantee for a fair and square race. Owing to the hazards of the course, the result would depend upon the skill of the drivers quite as much as the speed of the teams. The points of hazard were at the turn round the Old Fort, and at a little ravine which led down to the river, over which the road passed by means of a long, log bridge or causeway.",-1.25140093,0.464566131
95c133a73,https://en.wikipedia.org/wiki/Tissue_(biology),CC BY-SA 3.0,"Animal tissues are grouped into four basic types: connective, muscle, nervous, and epithelial. Collections of tissues joined in units to serve a common function compose organs. While all animals can generally be considered to contain the four tissue types, the manifestation of these tissues can differ depending on the type of organism. For example, the origin of the cells comprising a particular tissue type may differ developmentally for different classifications of animals.
The epithelium in all animals is derived from the ectoderm and endoderm, with a small contribution from the mesoderm, forming the endothelium, a specialized type of epithelium that composes the vasculature. By contrast, a true epithelial tissue is present only in a single layer of cells held together via occluding junctions called tight junctions, to create a selectively permeable barrier. This tissue covers all organismal surfaces that come in contact with the external environment such as the skin, the airways, and the digestive tract. It serves functions of protection, secretion, and absorption, and is separated from other tissues below by a basal lamina.",-2.601398503,0.500680018
0bd562bbf,,,"Mamma shook her head; though she could not help laughing at the little girl's mistake, for she meant subscribers. It is a hard word; but this little Mamie knew the meaning well.
""O mamma! please do; for you know I love it. And Jennie and Katie and Bessie will love it too, if they only know about it; and, besides, I can get a present, if I send some new names to 'The Nursery' man.""
Little Mamie was so urgent in her request, that her mother asked papa what he thought about it.
Papa said, ""Oh, let her try if she wants to: it will do no harm."" How the black eyes danced! and the little feet could hardly keep still, while mamma dressed her up very warmly, till she was just about as large one way as the other.",-0.315092518,0.460496436
ff5dc1c0b,,,"This is a picture of the horse that refuses to run over children. His name is Prince. Once his master was driving him along a narrow street, when Prince saw an infant creeping along across the street right in his way.
Prince at once slackened his speed; and though his master, who did not know that the infant lay in the way, touched him with the whip, Prince knew better than to hurt the poor little infant.
At last the good horse stopped short, and refused to move. His master got out of the buggy to see what was the matter; and there, close by the horse's fore-feet, was a baby on its knees.
Was not Prince a good, wise horse to refuse to harm the baby? Another time, when a little boy came up behind him, when the flies were pestering him, Prince, instead of kicking him, just lifted up one of his hind-feet, and pushed him gently away.",0.492744179,0.49022441200000005
66f0a9ff1,,,"If nature afflicts in one direction she frequently makes amends in another direction, and this dwarf, small as he was, was gifted with a most wonderful mind. His mechanical ingenuity bordered on the marvelous. When he went to school, he was a general favorite with teachers and pupils. The former loved him for his sweetness of disposition, and his remarkable proficiency in all studies, while the latter based their affection chiefly upon the fact that he never refused to assist any of them at their tasks, while with the pocket-knife which he carried he constructed toys which were their delight. Some of these were so curious and amusing that, had they been secured by letters patent, they would have brought a competency to him and his widowed mother.
But Johnny never thought of patenting them, although the principal support of himself and mother came from one or two patents, which his father had secured upon inventions, not near the equal of his.",-2.3864848359999997,0.526078693
854573ece,https://www.africanstorybook.org/,CC BY 4.0,"There lived a hunter who survived by trapping wild animals. For many days he did not trap any single animal. His family began to starve. Hunting was their main source of food. One morning he went to check his traps in the forest. He was lucky that day, one of his traps had caught a giraffe. He got very happy when he saw the giraffe. He celebrated that his family will get food. He said, ""Let me carefully get the giraffe without losing much of its blood."" ""Let me cut the ankle tendons so that there is little blood."" He crept slowly, with his spear aimed at the ankle tendons. To his disappointment, he missed the target. The spear cut the trap! The giraffe jumped and before it could get away, the hunter grabbed the tail. He was dragged away. He was dragged through the forest. He finally let go of the tail. He was left bruised in the thorny bushes. He struggled his way out of the thorny bush with injuries and went home miserably. His greed and foolishness had denied him food!",0.925734335,0.563686245
b0113640e,,,"Some men of letters, not necessarily the greatest, have an indescribable charm to which we give our hearts. Thackeray is the young man's first love. Of living authors, none perhaps bewitches the reader more than Mr. Stevenson, who plays upon words as if they were a musical instrument. To follow the music is less difficult than to place the musician. A friend of mine, who, like Mr. Grant Allen, reviews 365 books a year, and 366 in leap years, recently arranged the novelists of today in order of merit. Meredith, of course, he wrote first, and then there was a fall to Hardy. ""Haggard,"" he explained, ""I dropped from the Eiffel Tower; but what can I do with Stevenson? I can't put him before 'Lorna Doone.'"" So Mr. Stevenson puzzles the critics, fascinating them until they are willing to judge him by the great work he is to write by and by when the little books are finished. Over ""Treasure Island"" I let my fire die in winter without knowing that I was freezing. But the creator of Alan Breck has now published nearly twenty volumes.",-2.314187741,0.493488286
8838b1af6,,,"All members of the Cabinet maintain absolute silence regarding what step will follow the action of the Chamber. Former Ministers and other men prominent in public affairs declare, however, that the action of Parliament virtually was a declaration of war.
When the Chamber reassembled this afternoon after its long recess there were present 482 Deputies out of 500, the absentees remaining away on account of illness. The Deputies especially applauded were those who wore military uniforms and who had asked permission for leave from their military duties to be present at the sitting.
All the tribunes were filled to overflowing. No representatives of Germany, Austria, or Turkey were to be seen in the diplomatic tribune. The first envoy to arrive was Thomas Nelson Page, the American Ambassador, who was accompanied by his staff. M. Barrère, Sir J. Bennell Rodd, and Michel de Giers, the French, British, and Russian Ambassadors, respectively, appeared a few minutes later and all were greeted with applause, which was shared by the Belgian, Greek, and Rumanian Ministers. George B. McClellan, former Mayor of New York, occupied a seat in the President's tribune.",-2.20915345,0.483921473
7a1d484be,https://www.africanstorybook.org/,CC BY 4.0,"More people came to the bus stop just before 9am. Half an hour later they are all still waiting. Sam is worried. ""Maybe the bus broke down,"" he thinks. ""Maybe we won't go to town today. Maybe I won't get my new school uniform."" At 9:45am some people give up and go home. Sam starts to cry. ""We will wait a bit longer,"" says his mother. Suddenly, they hear a noise. The bus is coming! The bus arrives at the stop at 10 o'clock. ""Get in! Get in!"" calls the driver. ""We are very late today!"" People get on the bus and sit down. The bus leaves the stop at 10:10am. ""What time is the return bus this afternoon?"" asks Sam's mother. ""The blue bus leaves town at 2:30pm,"" replies the driver. Sam thinks, ""We will get to town at 11 o'clock."" ""How much time will we have in town before the return bus?"" wonders Sam.",1.5416718790000001,0.606996738
2b418e85b,,,"All the troubles and calamities I had undergone could not cure me of my inclination to make new voyages. I therefore bought goods, departed with them for the best seaport; and there, that I might not be obliged to depend upon a captain, but have a ship at my own command, I remained till one was built on purpose, at my own charge. When the ship was ready I went on board with my goods; but not having enough to load her, I agreed to take with me several merchants of different nations, with their merchandise.
We sailed with the first fair wind, and, after a long navigation, the first place we touched at was a desert island, where we found an egg of a roc, equal in size to that I formerly mentioned. There was a young roc in it, just ready to be hatched, and its beak had begun to break the egg. The merchants who landed with me broke the egg with hatchets, and made a hole in it, pulled out the young roc, piecemeal, and roasted it. I had in vain entreated them not to meddle with the egg.",-1.8170040180000002,0.5456447289999999
